state,page_title,url,article_revid,ores_score
Alabama,"Abbeville, Alabama","https://en.wikipedia.org/wiki/Abbeville,_Alabama",1171163550,C
Alabama,"Adamsville, Alabama","https://en.wikipedia.org/wiki/Adamsville,_Alabama",1177621427,C
Alabama,"Addison, Alabama","https://en.wikipedia.org/wiki/Addison,_Alabama",1168359898,C
Alabama,"Akron, Alabama","https://en.wikipedia.org/wiki/Akron,_Alabama",1165909508,GA
Alabama,"Alabaster, Alabama","https://en.wikipedia.org/wiki/Alabaster,_Alabama",1179139816,C
Alabama,"Albertville, Alabama","https://en.wikipedia.org/wiki/Albertville,_Alabama",1179198677,C
Alabama,"Alexander City, Alabama","https://en.wikipedia.org/wiki/Alexander_City,_Alabama",1179140073,GA
Alabama,"Aliceville, Alabama","https://en.wikipedia.org/wiki/Aliceville,_Alabama",1167792390,GA
Alabama,"Allgood, Alabama","https://en.wikipedia.org/wiki/Allgood,_Alabama",1165909718,C
Alabama,"Altoona, Alabama","https://en.wikipedia.org/wiki/Altoona,_Alabama",1165909823,C
Alabama,"Andalusia, Alabama","https://en.wikipedia.org/wiki/Andalusia,_Alabama",1179141586,C
Alabama,"Anderson, Lauderdale County, Alabama","https://en.wikipedia.org/wiki/Anderson,_Lauderdale_County,_Alabama",662691565,Stub
Alabama,"Anniston, Alabama","https://en.wikipedia.org/wiki/Anniston,_Alabama",1176049382,C
Alabama,"Arab, Alabama","https://en.wikipedia.org/wiki/Arab,_Alabama",1171375371,C
Alabama,"Ardmore, Alabama","https://en.wikipedia.org/wiki/Ardmore,_Alabama",1176903479,GA
Alabama,"Argo, Alabama","https://en.wikipedia.org/wiki/Argo,_Alabama",1177623964,C
Alabama,"Ariton, Alabama","https://en.wikipedia.org/wiki/Ariton,_Alabama",1166014478,C
Alabama,"Arley, Alabama","https://en.wikipedia.org/wiki/Arley,_Alabama",1166014498,C
Alabama,"Ashford, Alabama","https://en.wikipedia.org/wiki/Ashford,_Alabama",1166014593,C
Alabama,"Ashland, Alabama","https://en.wikipedia.org/wiki/Ashland,_Alabama",1174331705,C
Alabama,"Ashville, Alabama","https://en.wikipedia.org/wiki/Ashville,_Alabama",1148844011,C
Alabama,"Athens, Alabama","https://en.wikipedia.org/wiki/Athens,_Alabama",1175308807,C
Alabama,"Atmore, Alabama","https://en.wikipedia.org/wiki/Atmore,_Alabama",1167926420,C
Alabama,"Attalla, Alabama","https://en.wikipedia.org/wiki/Attalla,_Alabama",1165507856,C
Alabama,"Auburn, Alabama","https://en.wikipedia.org/wiki/Auburn,_Alabama",1179878794,C
Alabama,"Autaugaville, Alabama","https://en.wikipedia.org/wiki/Autaugaville,_Alabama",1166014815,C
Alabama,"Avon, Alabama","https://en.wikipedia.org/wiki/Avon,_Alabama",1166014861,Start
Alabama,"Babbie, Alabama","https://en.wikipedia.org/wiki/Babbie,_Alabama",1168820544,Start
Alabama,"Baileyton, Alabama","https://en.wikipedia.org/wiki/Baileyton,_Alabama",1166014939,C
Alabama,"Bakerhill, Alabama","https://en.wikipedia.org/wiki/Bakerhill,_Alabama",1166014954,Start
Alabama,"Banks, Alabama","https://en.wikipedia.org/wiki/Banks,_Alabama",1166014997,C
Alabama,"Bay Minette, Alabama","https://en.wikipedia.org/wiki/Bay_Minette,_Alabama",1177963600,C
Alabama,"Bayou La Batre, Alabama","https://en.wikipedia.org/wiki/Bayou_La_Batre,_Alabama",1177999052,C
Alabama,"Bear Creek, Alabama","https://en.wikipedia.org/wiki/Bear_Creek,_Alabama",1166015184,GA
Alabama,"Beatrice, Alabama","https://en.wikipedia.org/wiki/Beatrice,_Alabama",1166015214,C
Alabama,"Beaverton, Alabama","https://en.wikipedia.org/wiki/Beaverton,_Alabama",1166015251,Start
Alabama,"Belk, Alabama","https://en.wikipedia.org/wiki/Belk,_Alabama",1166015313,C
Alabama,"Benton, Alabama","https://en.wikipedia.org/wiki/Benton,_Alabama",1166015434,C
Alabama,"Berlin, Alabama","https://en.wikipedia.org/wiki/Berlin,_Alabama",1166015476,Start
Alabama,"Berry, Alabama","https://en.wikipedia.org/wiki/Berry,_Alabama",1166015515,C
Alabama,"Bessemer, Alabama","https://en.wikipedia.org/wiki/Bessemer,_Alabama",1178999596,C
Alabama,"Billingsley, Alabama","https://en.wikipedia.org/wiki/Billingsley,_Alabama",1166015695,Start
Alabama,"Birmingham, Alabama","https://en.wikipedia.org/wiki/Birmingham,_Alabama",1179414429,B
Alabama,"Black, Alabama","https://en.wikipedia.org/wiki/Black,_Alabama",1166015772,Start
Alabama,"Blountsville, Alabama","https://en.wikipedia.org/wiki/Blountsville,_Alabama",1105978061,GA
Alabama,"Blue Springs, Alabama","https://en.wikipedia.org/wiki/Blue_Springs,_Alabama",1166015902,Start
Alabama,"Boaz, Alabama","https://en.wikipedia.org/wiki/Boaz,_Alabama",1177138566,GA
Alabama,"Boligee, Alabama","https://en.wikipedia.org/wiki/Boligee,_Alabama",1166015957,C
Alabama,"Bon Air, Alabama","https://en.wikipedia.org/wiki/Bon_Air,_Alabama",1166015981,C
Alabama,"Brantley, Alabama","https://en.wikipedia.org/wiki/Brantley,_Alabama",1165814013,C
Alabama,"Brent, Alabama","https://en.wikipedia.org/wiki/Brent,_Alabama",1172245542,GA
Alabama,"Brewton, Alabama","https://en.wikipedia.org/wiki/Brewton,_Alabama",1162427481,GA
Alabama,"Bridgeport, Alabama","https://en.wikipedia.org/wiki/Bridgeport,_Alabama",1165537046,GA
Alabama,"Brighton, Alabama","https://en.wikipedia.org/wiki/Brighton,_Alabama",1177621572,C
Alabama,"Brilliant, Alabama","https://en.wikipedia.org/wiki/Brilliant,_Alabama",1166016323,GA
Alabama,"Brookside, Alabama","https://en.wikipedia.org/wiki/Brookside,_Alabama",1170769013,C
Alabama,"Brookwood, Alabama","https://en.wikipedia.org/wiki/Brookwood,_Alabama",1178216914,C
Alabama,"Brundidge, Alabama","https://en.wikipedia.org/wiki/Brundidge,_Alabama",1165537457,C
Alabama,"Butler, Alabama","https://en.wikipedia.org/wiki/Butler,_Alabama",1144752979,C
Alabama,"Calera, Alabama","https://en.wikipedia.org/wiki/Calera,_Alabama",1165537934,C
Alabama,"Camden, Alabama","https://en.wikipedia.org/wiki/Camden,_Alabama",1176316224,GA
Alabama,"Camp Hill, Alabama","https://en.wikipedia.org/wiki/Camp_Hill,_Alabama",1166017104,C
Alabama,"Carbon Hill, Alabama","https://en.wikipedia.org/wiki/Carbon_Hill,_Alabama",1175376595,C
Alabama,"Cardiff, Alabama","https://en.wikipedia.org/wiki/Cardiff,_Alabama",1166017260,Start
Alabama,"Carolina, Alabama","https://en.wikipedia.org/wiki/Carolina,_Alabama",1166017310,Start
Alabama,"Carrollton, Alabama","https://en.wikipedia.org/wiki/Carrollton,_Alabama",1096812581,C
