state,article_title,revision_id,article_quality,regional_division,population
Alabama,"Abbeville, Alabama",1171163550,C,East South Central,5074296
Alabama,"Adamsville, Alabama",1177621427,C,East South Central,5074296
Alabama,"Addison, Alabama",1168359898,C,East South Central,5074296
Alabama,"Akron, Alabama",1165909508,GA,East South Central,5074296
Alabama,"Alabaster, Alabama",1179139816,C,East South Central,5074296
Alabama,"Albertville, Alabama",1179198677,C,East South Central,5074296
Alabama,"Alexander City, Alabama",1179140073,GA,East South Central,5074296
Alabama,"Aliceville, Alabama",1167792390,GA,East South Central,5074296
Alabama,"Allgood, Alabama",1165909718,C,East South Central,5074296
Alabama,"Altoona, Alabama",1165909823,C,East South Central,5074296
Alabama,"Andalusia, Alabama",1179141586,C,East South Central,5074296
Alabama,"Anderson, Lauderdale County, Alabama",662691565,Stub,East South Central,5074296
Alabama,"Anniston, Alabama",1176049382,C,East South Central,5074296
Alabama,"Arab, Alabama",1171375371,C,East South Central,5074296
Alabama,"Ardmore, Alabama",1176903479,GA,East South Central,5074296
Alabama,"Argo, Alabama",1177623964,C,East South Central,5074296
Alabama,"Ariton, Alabama",1166014478,C,East South Central,5074296
Alabama,"Arley, Alabama",1166014498,C,East South Central,5074296
Alabama,"Ashford, Alabama",1166014593,C,East South Central,5074296
Alabama,"Ashland, Alabama",1174331705,C,East South Central,5074296
Alabama,"Ashville, Alabama",1148844011,C,East South Central,5074296
Alabama,"Athens, Alabama",1175308807,C,East South Central,5074296
Alabama,"Atmore, Alabama",1167926420,C,East South Central,5074296
Alabama,"Attalla, Alabama",1165507856,C,East South Central,5074296
Alabama,"Auburn, Alabama",1179878794,C,East South Central,5074296
Alabama,"Autaugaville, Alabama",1166014815,C,East South Central,5074296
Alabama,"Avon, Alabama",1166014861,Start,East South Central,5074296
Alabama,"Babbie, Alabama",1168820544,Start,East South Central,5074296
Alabama,"Baileyton, Alabama",1166014939,C,East South Central,5074296
Alabama,"Bakerhill, Alabama",1166014954,Start,East South Central,5074296
